Agreement_ID,Material_ID,SPA_Price,Start_Date,End_Date,SPA_Price_Unit,SPA_Currency,Customer_ID,Customer_Name,Region,Material_Description,Material_Group,Unit_Cost,Stock_Price,Stock_Price_Unit,Stock_Currency,Pricing_Level,Item_Price,MG2_Multiplier,MPG_Multiplier,Book_Price,Customer_Price_Currency,Customer_Price_Unit,SPA_Unit_Price,Into_Stock_Price,Price_Difference,SPA_Margin_Percent,SPA_Benefit,Margin_Flag,Benefit_Flag,Days_To_Expiry,Expiry_Status,Expiry_Flag,Review_Flag
SPA-1001,MAT-001,88,1/1/2026,2026-12-31,1,CAD,CUST-001,Apex Industrial Supply,Quebec,Industrial Relay,Control Components,60,120,1,CAD,ITEM,80.0,,,110,CAD,1,88.0,80.0,-8.0,31.818181818181817,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-001,88,1/1/2026,2026-12-31,1,CAD,CUST-002,Northern Controls Ltd.,Ontario,Industrial Relay,Control Components,60,120,1,CAD,MG2,,0.8,,110,CAD,1,88.0,96.0,8.0,31.818181818181817,SPA BENEFIT,OK,1,118,ACTIVE,0,0
SPA-1001,MAT-001,88,1/1/2026,2026-12-31,1,CAD,CUST-003,Summit Electrical Group,Alberta,Industrial Relay,Control Components,60,120,1,CAD,MPG,,,0.7,110,CAD,1,88.0,84.0,-4.0,31.818181818181817,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-002,150,1/1/2026,2026-12-31,1,CAD,CUST-001,Apex Industrial Supply,Quebec,Motor Starter,Motor Control,90,180,1,CAD,ITEM,140.0,,,170,CAD,1,150.0,140.0,-10.0,40.0,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-002,150,1/1/2026,2026-12-31,1,CAD,CUST-002,Northern Controls Ltd.,Ontario,Motor Starter,Motor Control,90,180,1,CAD,MG2,,0.8,,170,CAD,1,150.0,144.0,-6.0,40.0,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-002,150,1/1/2026,2026-12-31,1,CAD,CUST-003,Summit Electrical Group,Alberta,Motor Starter,Motor Control,90,180,1,CAD,MPG,,,0.8,170,CAD,1,150.0,144.0,-6.0,40.0,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-003,210,1/1/2026,2026-12-31,1,CAD,CUST-001,Apex Industrial Supply,Quebec,Circuit Protection Unit,Electrical Protection,125,250,1,CAD,ITEM,220.0,,,230,CAD,1,210.0,220.0,10.0,40.476190476190474,SPA BENEFIT,OK,1,118,ACTIVE,0,0
SPA-1001,MAT-003,210,1/1/2026,2026-12-31,1,CAD,CUST-002,Northern Controls Ltd.,Ontario,Circuit Protection Unit,Electrical Protection,125,250,1,CAD,MPG,,,0.88,230,CAD,1,210.0,220.0,10.0,40.476190476190474,SPA BENEFIT,OK,1,118,ACTIVE,0,0
SPA-1001,MAT-003,210,1/1/2026,2026-12-31,1,CAD,CUST-003,Summit Electrical Group,Alberta,Circuit Protection Unit,Electrical Protection,125,250,1,CAD,MG2,,0.8,,230,CAD,1,210.0,200.0,-10.0,40.476190476190474,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
SPA-1001,MAT-004,13500,1/1/2026,2026-12-31,100,CAD,CUST-001,Apex Industrial Supply,Quebec,Control Transformer,Power Components,75,15000,100,CAD,MG2,,0.95,,145,CAD,1,135.0,142.5,7.5,44.44444444444444,SPA BENEFIT,OK,1,118,ACTIVE,0,0
SPA-1001,MAT-004,13500,1/1/2026,2026-12-31,100,CAD,CUST-002,Northern Controls Ltd.,Ontario,Control Transformer,Power Components,75,15000,100,CAD,ITEM,130.0,,,145,CAD,1,135.0,130.0,-5.0,44.44444444444444,NO SPA BENEFIT,OK,0,118,ACTIVE,0,0
